Grade,Student ID,Name,Course
93,15,Padraig Barry,STAT 236
92,39,Zachariah Hutchinson,STAT 240
90,33,Stewart Reed,STAT 239
90,54,Franciszek Hartman,STAT 242
86,6,Bodhi Stokes,STAT 234
84,60,Sasha Prentice,STAT 243
84,48,Saima Day,STAT 241
84,21,Max Reeves,STAT 237
83,42,Malia Avalos,STAT 240
83,57,Tasmin O'Connor,STAT 243
83,99,Tia Welch,STAT 250
81,30,Najma Kline,STAT 238
81,18,Lily-Anne Parsons,STAT 236
79,12,Dakota O'Doherty,STAT 235
74,3,Keiran Molloy,STAT 234
74,36,Nabiha Villa,STAT 239
73,75,Onur Shelton,STAT 246
72,24,Melina Bouvet,STAT 237
71,87,Amelia-Mae Meyer,STAT 248
71,93,Finbar Pearce,STAT 249
71,78,Tanisha Gillespie,STAT 246
69,72,Hiba Cowan,STAT 245
67,81,Ezekiel Pike,STAT 247
67,63,Corey Mckee,STAT 244
66,51,Faye Sharp,STAT 242
66,66,Marley Galloway,STAT 244
65,27,Giorgio Burgess,STAT 238
63,90,Isaak Guzman,STAT 248
63,9,Cerys Mill,STAT 235
60,69,Micah Akhtar,STAT 245
58,84,Clay Ritter,STAT 247
58,45,Harriette Albert,STAT 241
56,96,Amelia Mccullough,STAT 249
